TimeOfStop,SubAgency,Description,VehicleType,ViolationType,Race,Gender,ArrestType
18,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
13,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
19,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
10,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
17,1st district Rockville,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
12,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
9,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
3,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,Q - Marked Laser
22,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
21,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
20,5th district Germantown,ACCIDENT RELATED,02 - Automobile,Citation,OTHER,F,A - Marked Patrol
0,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
14,4th district Wheaton,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
3,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
16,6th district Gaithersburg / Montgomery Village,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,5th district Germantown,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
17,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
14,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
14,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
23,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
15,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
12,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
9,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
2,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
11,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
3,2nd district Bethesda,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
17,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
1,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
9,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
13,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
10,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
23,Headquarters and Special Operations,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,B - Unmarked Patrol
22,5th district Germantown,LICENSE OR REGISTRATION RELATED,06 - Heavy Duty Truck,Citation,BLACK,M,A - Marked Patrol
19,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,05 - Light Duty Truck,Citation,WHITE,M,A - Marked Patrol
9,4th district Wheaton,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
13,4th district Wheaton,NOISE RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
7,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
14,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
4,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
14,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,OTHER,M,Q - Marked Laser
23,3rd district Silver Spring,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
9,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
12,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
20,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
11,2nd district Bethesda,PAPERWORK RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
23,2nd district Bethesda,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
0,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
11,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
5,4th district Wheaton,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
1,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,3rd district Silver Spring,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
2,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
17,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
11,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,Q - Marked Laser
9,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
1,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
8,3rd district Silver Spring,PHONE RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
15,3rd district Silver Spring,PLATE VIOLATION,01 - Motorcycle,Citation,WHITE,F,A - Marked Patrol
8,4th district Wheaton,LEARNING DRIVER WITHOUT SUPERVISION,05 - Light Duty Truck,Citation,HISPANIC,M,A - Marked Patrol
7,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
22,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
21,5th district Germantown,PLATE VIOLATION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
8,4th district Wheaton,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
14,4th district Wheaton,ACCIDENT RELATED,28 - Other,Citation,BLACK,M,A - Marked Patrol
10,3rd district Silver Spring,ACCIDENT RELATED,05 - Light Duty Truck,Citation,BLACK,M,A - Marked Patrol
0,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
18,4th district Wheaton,PHONE RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
13,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,1st district Rockville,SPEEDING,05 - Light Duty Truck,Citation,WHITE,M,Q - Marked Laser
18,4th district Wheaton,PHONE RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
19,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
3,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
13,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
4,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
7,4th district Wheaton,SPEEDING,03 - Station Wagon,Citation,BLACK,M,Q - Marked Laser
8,4th district Wheaton,SPEEDING,02 - Automobile,Citation,BLACK,F,Q - Marked Laser
18,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
2,4th district Wheaton,PLATE VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
22,4th district Wheaton,SPEEDING,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
18,4th district Wheaton,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
8,Headquarters and Special Operations,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
19,4th district Wheaton,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
20,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
21,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,B - Unmarked Patrol
21,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,B - Unmarked Patrol
16,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
22,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
8,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
21,1st district Rockville,RECKLESS DRIVING,28 - Other,Citation,WHITE,F,A - Marked Patrol
0,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,4th district Wheaton,ACCIDENT RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
10,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
11,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
21,2nd district Bethesda,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,B - Unmarked Patrol
21,2nd district Bethesda,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,WHITE,M,B - Unmarked Patrol
12,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
9,4th district Wheaton,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
19,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
21,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
17,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
9,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
2,Headquarters and Special Operations,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
17,6th district Gaithersburg / Montgomery Village,DRIVING UNINSURED VEHICLE,01 - Motorcycle,Citation,BLACK,M,A - Marked Patrol
11,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
5,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
7,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,F,R - Unmarked Laser
7,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,F,R - Unmarked Laser
8,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,M,R - Unmarked Laser
8,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,F,R - Unmarked Laser
19,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,2nd district Bethesda,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
16,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
0,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
22,4th district Wheaton,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
20,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
19,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
13,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
19,1st district Rockville,PLATE VIOLATION,05 - Light Duty Truck,Citation,ASIAN,M,A - Marked Patrol
10,3rd district Silver Spring,ACCIDENT RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
9,1st district Rockville,PEDESTRIAN INFRACTION,29 - Unknown,Warning,BLACK,M,A - Marked Patrol
8,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
9,2nd district Bethesda,MINOR INFRACTION,05 - Light Duty Truck,Citation,BLACK,F,A - Marked Patrol
17,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
18,Headquarters and Special Operations,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
13,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
23,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
19,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
19,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
19,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
19,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
7,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,HISPANIC,M,M - Marked (Off-Duty)
19,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
23,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
17,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
10,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,2nd district Bethesda,SPEEDING,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
21,3rd district Silver Spring,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,2nd district Bethesda,ACCIDENT RELATED,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
21,3rd district Silver Spring,LEARNING DRIVER WITHOUT SUPERVISION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,2nd district Bethesda,RECKLESS DRIVING,05 - Light Duty Truck,Citation,WHITE,F,A - Marked Patrol
22,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
14,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
2,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,4th district Wheaton,SPEEDING,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
14,Headquarters and Special Operations,LICENSE OR REGISTRATION RELATED,03 - Station Wagon,Citation,HISPANIC,F,A - Marked Patrol
11,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
1,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
20,3rd district Silver Spring,DRIVING UNINSURED VEHICLE,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
21,3rd district Silver Spring,PLATE VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
11,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,D - Unmarked VASCAR
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
14,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
16,3rd district Silver Spring,DRIVING UNINSURED VEHICLE,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
3,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
19,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
15,1st district Rockville,PEDESTRIAN INFRACTION,29 - Unknown,Citation,WHITE,F,B - Unmarked Patrol
17,5th district Germantown,PLATE VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
14,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
3,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,28 - Other,Citation,BLACK,M,A - Marked Patrol
21,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
0,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
11,2nd district Bethesda,ACCIDENT RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
6,3rd district Silver Spring,SPEEDING,08 - Recreational Vehicle,Citation,BLACK,M,A - Marked Patrol
0,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
22,5th district Germantown,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
13,2nd district Bethesda,SPEEDING,02 - Automobile,Citation,BLACK,F,Q - Marked Laser
3,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
16,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
3,5th district Germantown,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,WHITE,M,B - Unmarked Patrol
0,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,03 - Station Wagon,Citation,BLACK,M,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
21,3rd district Silver Spring,DRIVING UNINSURED VEHICLE,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
9,4th district Wheaton,SPEEDING,02 - Automobile,Citation,HISPANIC,F,Q - Marked Laser
9,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,01 - Motorcycle,Citation,BLACK,M,A - Marked Patrol
13,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,Q - Marked Laser
16,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
3,5th district Germantown,MINOR INFRACTION,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
5,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,6th district Gaithersburg / Montgomery Village,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
21,3rd district Silver Spring,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,WHITE,F,A - Marked Patrol
10,4th district Wheaton,PHONE RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
23,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
6,5th district Germantown,SPEEDING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
20,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
22,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
13,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
22,4th district Wheaton,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
15,6th district Gaithersburg / Montgomery Village,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
16,2nd district Bethesda,DISOBEY TRAFFIC CONTROL,03 - Station Wagon,Citation,WHITE,M,A - Marked Patrol
21,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
1,1st district Rockville,MINOR INFRACTION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
20,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
15,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
17,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
