TimeOfStop,SubAgency,Description,VehicleType,ViolationType,Race,Gender,ArrestType
8,3rd district Silver Spring,MINOR INFRACTION,05 - Light Duty Truck,Citation,WHITE,M,A - Marked Patrol
22,Headquarters and Special Operations,VEHICLE OR EQUIPMENT VIOLATION,02 - Automobile,Citation,HISPANIC,M,B - Unmarked Patrol
17,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
11,4th district Wheaton,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
22,6th district Gaithersburg / Montgomery Village,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,F,M - Marked (Off-Duty)
20,6th district Gaithersburg / Montgomery Village,DISOBEY TRAFFIC CONTROL,02 - Automobile,Citation,HISPANIC,F,A - Marked Patrol
0,1st district Rockville,IMPAIRED BY DRUGS OR ALCOHOL,02 - Automobile,Citation,WHITE,M,Q - Marked Laser
21,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
0,3rd district Silver Spring,MINOR INFRACTION,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
0,3rd district Silver Spring,RECKLESS DRIVING,02 - Automobile,Citation,BLACK,F,A - Marked Patrol
11,5th district Germantown,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
12,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
20,6th district Gaithersburg / Montgomery Village,RECKLESS DRIVING,02 - Automobile,Citation,NATIVE AMERICAN,F,A - Marked Patrol
8,4th district Wheaton,RECKLESS DRIVING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
22,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
19,5th district Germantown,PLATE VIOLATION,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
14,1st district Rockville,LICENSE OR REGISTRATION RELATED,28 - Other,Citation,WHITE,M,A - Marked Patrol
9,6th district Gaithersburg / Montgomery Village,SPEEDING,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
12,2nd district Bethesda,MINOR INFRACTION,02 - Automobile,Citation,OTHER,M,A - Marked Patrol
2,1st district Rockville,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,WHITE,M,A - Marked Patrol
9,4th district Wheaton,SPEEDING,02 - Automobile,Citation,OTHER,M,Q - Marked Laser
10,1st district Rockville,LICENSE OR REGISTRATION RELATED,08 - Recreational Vehicle,Citation,HISPANIC,M,A - Marked Patrol
14,2nd district Bethesda,PLATE VIOLATION,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
18,3rd district Silver Spring,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,HISPANIC,M,A - Marked Patrol
23,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
23,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
9,2nd district Bethesda,LICENSE OR REGISTRATION RELATED,02 - Automobile,Citation,ASIAN,M,A - Marked Patrol
18,4th district Wheaton,PHONE RELATED,02 - Automobile,Citation,BLACK,M,A - Marked Patrol
10,3rd district Silver Spring,SPEEDING,02 - Automobile,Citation,HISPANIC,F,Q - Marked Laser
